200408 190408.410|CONFIG|Thread-2|setFileHandlers|Now logging to C:\Users\Do Hung Anh\Desktop\CacMonHoc\CauTrucDuLieuVaGiaiThuat\Contest\pc2Client\bin\logs directory.
200408 190455.556|INFO|Thread-4|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #1963, o#1963 ) handlePacket
200408 190455.556|INFO|Thread-4|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-7273615177002489717)
200408 190455.557|INFO|Thread-4|dumpPacket|    To: TEAM1 @ site 1
200408 190455.558|INFO|Thread-4|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 244 QUEUED_FOR_COMPUTER_JUDGEMENT 109 min 6540593ms from TEAM1 @ site 1 id Run--7389742953392103097 problem BAI_1--5074640554644016016 lang C/C++-5815564170056165151
200408 190457.059|INFO|Thread-4|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #1963 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190458.276|INFO|Thread-5|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #1969 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190458.277|INFO|Thread-5|dumpPacket|Packet RUN_JUDGEMENT (Seq #1969, o#1969 ) recieveObject
200408 190458.277|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-7273615177002489717)
200408 190458.278|INFO|Thread-5|dumpPacket|    To: TEAM1 @ site 1
200408 190458.279|INFO|Thread-5|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE2 @ site 1 judgement Yes-1095825832858291739 id JudgementRecord-779653948190147282
200408 190458.279|INFO|Thread-5|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 244 JUDGED 109 min 6540593ms from TEAM1 @ site 1 id Run--7389742953392103097 problem BAI_1--5074640554644016016 lang C/C++-5815564170056165151
200408 190458.280|INFO|Thread-5|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200408 190458.285|INFO|Thread-5|info|handlePacket start Packet[RUN_JUDGEMENT] #1969 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190458.286|INFO|Thread-5|dumpPacket|Packet RUN_JUDGEMENT (Seq #1969, o#1969 ) handlePacket
200408 190458.287|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-7273615177002489717)
200408 190458.288|INFO|Thread-5|dumpPacket|    To: TEAM1 @ site 1
200408 190458.292|INFO|Thread-5|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE2 @ site 1 judgement Yes-1095825832858291739 id JudgementRecord-779653948190147282
200408 190458.293|INFO|Thread-5|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 244 JUDGED 109 min 6540593ms from TEAM1 @ site 1 id Run--7389742953392103097 problem BAI_1--5074640554644016016 lang C/C++-5815564170056165151
200408 190458.295|INFO|Thread-5|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200408 190459.799|INFO|Thread-5|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 244 JUDGED 109 min 6540593ms from TEAM1 @ site 1 id Run--7389742953392103097 problem BAI_1--5074640554644016016 lang C/C++-5815564170056165151; runFiles=null
200408 190459.800|INFO|Thread-5|runChanged|Event not for me: sent to null but my ID is TEAM1 @ site 1
200408 190459.800|INFO|Thread-5|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #1969 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190507.451|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for BAI 2 C/C++ file: C:\Users\Do Hung Anh\Desktop\CacMonHoc\CauTrucDuLieuVaGiaiThuat\Contest\Contest1\2.cpp
200408 190507.487|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #3 TEAM1 @ site 1 -> SERVER0 @ site 1
200408 190507.488|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #3 TEAM1 @ site 1 -> SERVER0 @ site 1
200408 190507.714|INFO|Thread-7|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #1983 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190507.716|INFO|Thread-7|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #1983, o#1983 ) recieveObject
200408 190507.716|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-7273615177002489717)
200408 190507.717|INFO|Thread-7|dumpPacket|    To: TEAM1 @ site 1
200408 190507.718|INFO|Thread-7|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 247 QUEUED_FOR_COMPUTER_JUDGEMENT 109 min 6552702ms from TEAM1 @ site 1 id Run--4848845130106260150 problem BAI_2--4359141963664481827 lang C/C++-5815564170056165151
200408 190507.725|INFO|Thread-7|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #1983 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190507.727|INFO|Thread-7|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #1983, o#1983 ) handlePacket
200408 190507.728|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-7273615177002489717)
200408 190507.729|INFO|Thread-7|dumpPacket|    To: TEAM1 @ site 1
200408 190507.730|INFO|Thread-7|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 247 QUEUED_FOR_COMPUTER_JUDGEMENT 109 min 6552702ms from TEAM1 @ site 1 id Run--4848845130106260150 problem BAI_2--4359141963664481827 lang C/C++-5815564170056165151
200408 190508.690|INFO|Thread-7|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #1983 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190509.625|INFO|Thread-8|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #1987 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190509.627|INFO|Thread-8|dumpPacket|Packet RUN_JUDGEMENT (Seq #1987, o#1987 ) recieveObject
200408 190509.629|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-7273615177002489717)
200408 190509.631|INFO|Thread-8|dumpPacket|    To: TEAM1 @ site 1
200408 190509.632|INFO|Thread-8|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes-1095825832858291739 id JudgementRecord-7825548846133019063
200408 190509.634|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 247 JUDGED 109 min 6552702ms from TEAM1 @ site 1 id Run--4848845130106260150 problem BAI_2--4359141963664481827 lang C/C++-5815564170056165151
200408 190509.636|INFO|Thread-8|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200408 190509.637|INFO|Thread-8|info|handlePacket start Packet[RUN_JUDGEMENT] #1987 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190509.638|INFO|Thread-8|dumpPacket|Packet RUN_JUDGEMENT (Seq #1987, o#1987 ) handlePacket
200408 190509.639|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-7273615177002489717)
200408 190509.639|INFO|Thread-8|dumpPacket|    To: TEAM1 @ site 1
200408 190509.640|INFO|Thread-8|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes-1095825832858291739 id JudgementRecord-7825548846133019063
200408 190509.640|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 247 JUDGED 109 min 6552702ms from TEAM1 @ site 1 id Run--4848845130106260150 problem BAI_2--4359141963664481827 lang C/C++-5815564170056165151
200408 190509.640|INFO|Thread-8|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200408 190510.533|INFO|Thread-8|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 247 JUDGED 109 min 6552702ms from TEAM1 @ site 1 id Run--4848845130106260150 problem BAI_2--4359141963664481827 lang C/C++-5815564170056165151; runFiles=null
200408 190510.533|INFO|Thread-8|runChanged|Event not for me: sent to null but my ID is TEAM1 @ site 1
200408 190510.533|INFO|Thread-8|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #1987 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190517.788|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for BAI 3 C/C++ file: C:\Users\Do Hung Anh\Desktop\CacMonHoc\CauTrucDuLieuVaGiaiThuat\Contest\Contest1\3.cpp
200408 190517.803|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #4 TEAM1 @ site 1 -> SERVER0 @ site 1
200408 190517.803|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #4 TEAM1 @ site 1 -> SERVER0 @ site 1
200408 190517.918|INFO|Thread-10|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #1991 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190517.919|INFO|Thread-10|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #1991, o#1991 ) recieveObject
200408 190517.920|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-7273615177002489717)
200408 190517.921|INFO|Thread-10|dumpPacket|    To: TEAM1 @ site 1
200408 190517.924|INFO|Thread-10|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 248 QUEUED_FOR_COMPUTER_JUDGEMENT 109 min 6562937ms from TEAM1 @ site 1 id Run-6513872419195427789 problem BAI_3--664595949860352693 lang C/C++-5815564170056165151
200408 190517.927|INFO|Thread-10|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #1991 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190517.929|INFO|Thread-10|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #1991, o#1991 ) handlePacket
200408 190517.930|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-7273615177002489717)
200408 190517.931|INFO|Thread-10|dumpPacket|    To: TEAM1 @ site 1
200408 190517.934|INFO|Thread-10|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 248 QUEUED_FOR_COMPUTER_JUDGEMENT 109 min 6562937ms from TEAM1 @ site 1 id Run-6513872419195427789 problem BAI_3--664595949860352693 lang C/C++-5815564170056165151
200408 190518.906|INFO|Thread-10|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #1991 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190520.497|INFO|Thread-11|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #1995 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190520.499|INFO|Thread-11|dumpPacket|Packet RUN_JUDGEMENT (Seq #1995, o#1995 ) recieveObject
200408 190520.500|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-7273615177002489717)
200408 190520.501|INFO|Thread-11|dumpPacket|    To: TEAM1 @ site 1
200408 190520.505|INFO|Thread-11|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes-1095825832858291739 id JudgementRecord--3067901761292230821
200408 190520.507|INFO|Thread-11|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 248 JUDGED 109 min 6562937ms from TEAM1 @ site 1 id Run-6513872419195427789 problem BAI_3--664595949860352693 lang C/C++-5815564170056165151
200408 190520.508|INFO|Thread-11|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200408 190520.509|INFO|Thread-11|info|handlePacket start Packet[RUN_JUDGEMENT] #1995 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190520.510|INFO|Thread-11|dumpPacket|Packet RUN_JUDGEMENT (Seq #1995, o#1995 ) handlePacket
200408 190520.511|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-7273615177002489717)
200408 190520.512|INFO|Thread-11|dumpPacket|    To: TEAM1 @ site 1
200408 190520.512|INFO|Thread-11|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes-1095825832858291739 id JudgementRecord--3067901761292230821
200408 190520.514|INFO|Thread-11|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 248 JUDGED 109 min 6562937ms from TEAM1 @ site 1 id Run-6513872419195427789 problem BAI_3--664595949860352693 lang C/C++-5815564170056165151
200408 190520.515|INFO|Thread-11|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200408 190521.674|INFO|Thread-11|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 248 JUDGED 109 min 6562937ms from TEAM1 @ site 1 id Run-6513872419195427789 problem BAI_3--664595949860352693 lang C/C++-5815564170056165151; runFiles=null
200408 190521.675|INFO|Thread-11|runChanged|Event not for me: sent to null but my ID is TEAM1 @ site 1
200408 190521.675|INFO|Thread-11|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #1995 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190530.519|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for BAI 4 C/C++ file: C:\Users\Do Hung Anh\Desktop\CacMonHoc\CauTrucDuLieuVaGiaiThuat\Contest\Contest1\4.cpp
200408 190530.529|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #5 TEAM1 @ site 1 -> SERVER0 @ site 1
200408 190530.529|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #5 TEAM1 @ site 1 -> SERVER0 @ site 1
200408 190530.648|INFO|Thread-13|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #2011 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190530.651|INFO|Thread-13|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2011, o#2011 ) recieveObject
200408 190530.654|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-7273615177002489717)
200408 190530.655|INFO|Thread-13|dumpPacket|    To: TEAM1 @ site 1
200408 190530.657|INFO|Thread-13|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 251 QUEUED_FOR_COMPUTER_JUDGEMENT 109 min 6575671ms from TEAM1 @ site 1 id Run--5334259885423815473 problem BAI_4-6497870842085595280 lang C/C++-5815564170056165151
200408 190530.659|INFO|Thread-13|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #2011 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190530.660|INFO|Thread-13|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2011, o#2011 ) handlePacket
200408 190530.661|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-7273615177002489717)
200408 190530.662|INFO|Thread-13|dumpPacket|    To: TEAM1 @ site 1
200408 190530.663|INFO|Thread-13|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 251 QUEUED_FOR_COMPUTER_JUDGEMENT 109 min 6575671ms from TEAM1 @ site 1 id Run--5334259885423815473 problem BAI_4-6497870842085595280 lang C/C++-5815564170056165151
200408 190531.405|INFO|Thread-13|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #2011 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190532.499|INFO|Thread-14|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #2015 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190532.500|INFO|Thread-14|dumpPacket|Packet RUN_JUDGEMENT (Seq #2015, o#2015 ) recieveObject
200408 190532.500|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-7273615177002489717)
200408 190532.501|INFO|Thread-14|dumpPacket|    To: TEAM1 @ site 1
200408 190532.501|INFO|Thread-14|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes-1095825832858291739 id JudgementRecord-6518960587698165567
200408 190532.502|INFO|Thread-14|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 251 JUDGED 109 min 6575671ms from TEAM1 @ site 1 id Run--5334259885423815473 problem BAI_4-6497870842085595280 lang C/C++-5815564170056165151
200408 190532.502|INFO|Thread-14|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200408 190532.503|INFO|Thread-14|info|handlePacket start Packet[RUN_JUDGEMENT] #2015 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190532.503|INFO|Thread-14|dumpPacket|Packet RUN_JUDGEMENT (Seq #2015, o#2015 ) handlePacket
200408 190532.503|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-7273615177002489717)
200408 190532.504|INFO|Thread-14|dumpPacket|    To: TEAM1 @ site 1
200408 190532.504|INFO|Thread-14|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes-1095825832858291739 id JudgementRecord-6518960587698165567
200408 190532.505|INFO|Thread-14|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 251 JUDGED 109 min 6575671ms from TEAM1 @ site 1 id Run--5334259885423815473 problem BAI_4-6497870842085595280 lang C/C++-5815564170056165151
200408 190532.505|INFO|Thread-14|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200408 190533.750|INFO|Thread-14|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 251 JUDGED 109 min 6575671ms from TEAM1 @ site 1 id Run--5334259885423815473 problem BAI_4-6497870842085595280 lang C/C++-5815564170056165151; runFiles=null
200408 190533.750|INFO|Thread-14|runChanged|Event not for me: sent to null but my ID is TEAM1 @ site 1
200408 190533.751|INFO|Thread-14|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #2015 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190541.930|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for BAI 5 C/C++ file: C:\Users\Do Hung Anh\Desktop\CacMonHoc\CauTrucDuLieuVaGiaiThuat\Contest\Contest1\5.cpp
200408 190541.937|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #6 TEAM1 @ site 1 -> SERVER0 @ site 1
200408 190541.937|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #6 TEAM1 @ site 1 -> SERVER0 @ site 1
200408 190542.053|INFO|Thread-16|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #2017 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190542.054|INFO|Thread-16|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2017, o#2017 ) recieveObject
200408 190542.059|INFO|Thread-16|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-7273615177002489717)
200408 190542.059|INFO|Thread-16|dumpPacket|    To: TEAM1 @ site 1
200408 190542.060|INFO|Thread-16|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 252 QUEUED_FOR_COMPUTER_JUDGEMENT 109 min 6587077ms from TEAM1 @ site 1 id Run-7541499931667285157 problem BAI_5--1255579197711657360 lang C/C++-5815564170056165151
200408 190542.061|INFO|Thread-16|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #2017 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190542.062|INFO|Thread-16|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2017, o#2017 ) handlePacket
200408 190542.063|INFO|Thread-16|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-7273615177002489717)
200408 190542.064|INFO|Thread-16|dumpPacket|    To: TEAM1 @ site 1
200408 190542.065|INFO|Thread-16|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 252 QUEUED_FOR_COMPUTER_JUDGEMENT 109 min 6587077ms from TEAM1 @ site 1 id Run-7541499931667285157 problem BAI_5--1255579197711657360 lang C/C++-5815564170056165151
200408 190542.844|INFO|Thread-16|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #2017 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190544.978|INFO|Thread-17|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #2025 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190544.979|INFO|Thread-17|dumpPacket|Packet RUN_JUDGEMENT (Seq #2025, o#2025 ) recieveObject
200408 190544.980|INFO|Thread-17|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-7273615177002489717)
200408 190544.981|INFO|Thread-17|dumpPacket|    To: TEAM1 @ site 1
200408 190544.982|INFO|Thread-17|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE2 @ site 1 judgement Yes-1095825832858291739 id JudgementRecord--4749247590014430385
200408 190544.990|INFO|Thread-17|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 252 JUDGED 109 min 6587077ms from TEAM1 @ site 1 id Run-7541499931667285157 problem BAI_5--1255579197711657360 lang C/C++-5815564170056165151
200408 190544.991|INFO|Thread-17|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200408 190544.991|INFO|Thread-17|info|handlePacket start Packet[RUN_JUDGEMENT] #2025 SERVER0 @ site 1 -> TEAM1 @ site 1
200408 190544.992|INFO|Thread-17|dumpPacket|Packet RUN_JUDGEMENT (Seq #2025, o#2025 ) handlePacket
200408 190545.001|INFO|Thread-17|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-7273615177002489717)
200408 190545.004|INFO|Thread-17|dumpPacket|    To: TEAM1 @ site 1
200408 190545.005|INFO|Thread-17|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE2 @ site 1 judgement Yes-1095825832858291739 id JudgementRecord--4749247590014430385
200408 190545.005|INFO|Thread-17|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 252 JUDGED 109 min 6587077ms from TEAM1 @ site 1 id Run-7541499931667285157 problem BAI_5--1255579197711657360 lang C/C++-5815564170056165151
200408 190545.005|INFO|Thread-17|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
